data,ricoverati_con_sintomi,terapia_intensiva,totale_ospedalizzati
2020-04-01 17:00:00,28403,4035,32438
2020-04-02 17:00:00,28540,4053,32593
2020-04-03 17:00:00,28741,4068,32809
2020-04-04 17:00:00,29010,3994,33004
2020-04-05 17:00:00,28949,3977,32926
2020-04-06 17:00:00,28976,3898,32874
2020-04-07 17:00:00,28718,3792,32510
2020-04-08 17:00:00,28485,3693,32178
2020-04-09 17:00:00,28399,3605,32004
2020-04-10 17:00:00,28242,3497,31739
2020-04-11 17:00:00,28144,3381,31525
2020-04-12 17:00:00,27847,3343,31190
2020-04-13 17:00:00,28023,3260,31283
2020-04-14 17:00:00,28011,3186,31197
2020-04-15 17:00:00,27643,3079,30722
2020-04-16 17:00:00,26893,2936,29829
2020-04-17 17:00:00,25786,2812,28598
2020-04-18 17:00:00,25007,2733,27740
2020-04-19 17:00:00,25033,2635,27668
2020-04-20 17:00:00,24906,2573,27479
2020-04-21 17:00:00,24134,2471,26605
2020-04-22 17:00:00,23805,2384,26189
2020-04-23 17:00:00,22871,2267,25138
2020-04-24 17:00:00,22068,2173,24241
2020-04-25 17:00:00,21533,2102,23635
2020-04-26 17:00:00,21372,2009,23381
2020-04-27 17:00:00,20353,1956,22309
2020-04-28 17:00:00,19723,1863,21586
2020-04-29 17:00:00,19210,1795,21005
2020-04-30 17:00:00,18149,1694,19843
2020-05-01 17:00:00,17569,1578,19147
2020-05-02 17:00:00,17357,1539,18896
2020-05-03 17:00:00,17242,1501,18743
2020-05-04 17:00:00,16823,1479,18302
2020-05-05 17:00:00,16270,1427,17697
2020-05-06 17:00:00,15769,1333,17102
2020-05-07 17:00:00,15174,1311,16485
2020-05-08 17:00:00,14636,1168,15804
2020-05-09 17:00:00,13834,1034,14868
2020-05-10 17:00:00,13618,1027,14645
2020-05-11 17:00:00,13539,999,14538
2020-05-12 17:00:00,12865,952,13817
2020-05-13 17:00:00,12172,893,13065
2020-05-14 17:00:00,11453,855,12308
2020-05-15 17:00:00,10792,808,11600
2020-05-16 17:00:00,10400,775,11175
2020-05-17 17:00:00,10311,762,11073
2020-05-18 17:00:00,10207,749,10956
2020-05-19 17:00:00,9991,716,10707
2020-05-20 17:00:00,9624,676,10300
2020-05-21 17:00:00,9269,640,9909
2020-05-22 17:00:00,8957,595,9552
2020-05-23 17:00:00,8695,572,9267
2020-05-24 17:00:00,8613,553,9166
2020-05-25 17:00:00,8185,541,8726
2020-05-26 17:00:00,7917,521,8438
2020-05-27 17:00:00,7729,505,8234
2020-05-28 17:00:00,7379,489,7868
2020-05-29 17:00:00,7094,475,7569
2020-05-30 17:00:00,6680,450,7130
2020-05-31 17:00:00,6387,435,6822
2020-06-01 17:00:00,6099,424,6523
2020-06-02 17:00:00,5916,408,6324
2020-06-03 17:00:00,5742,353,6095
2020-06-04 17:00:00,5503,338,5841
2020-06-05 17:00:00,5301,316,5617
2020-06-06 17:00:00,5002,293,5295
2020-06-07 17:00:00,4864,287,5151
2020-06-08 17:00:00,4729,283,5012
2020-06-09 17:00:00,4581,263,4844
2020-06-10 17:00:00,4320,249,4569
2020-06-11 17:00:00,4131,236,4367
2020-06-12 17:00:00,3893,227,4120
2020-06-13 17:00:00,3747,220,3967
2020-06-14 17:00:00,3594,209,3803
2020-06-15 17:00:00,3489,207,3696
2020-06-16 17:00:00,3301,177,3478
2020-06-17 17:00:00,3113,163,3276
2020-06-18 17:00:00,2867,168,3035
2020-06-19 17:00:00,2632,161,2793
2020-06-20 17:00:00,2474,152,2626
2020-06-21 17:00:00,2314,148,2462
2020-06-22 17:00:00,2038,127,2165
2020-06-23 17:00:00,1853,115,1968
2020-06-24 17:00:00,1610,107,1717
2020-06-25 17:00:00,1515,103,1618
2020-06-26 17:00:00,1356,105,1461
2020-06-27 17:00:00,1260,97,1357
2020-06-28 17:00:00,1160,98,1258
2020-06-29 17:00:00,1120,96,1216
2020-06-30 17:00:00,1090,93,1183
2020-07-01 17:00:00,1025,87,1112
2020-07-02 17:00:00,963,82,1045
2020-07-03 17:00:00,956,79,1035
