data,ricoverati_con_sintomi,terapia_intensiva,totale_ospedalizzati,totale_positivi,variazione_totale_positivi,nuovi_positivi,deceduti,tamponi,ingressi_terapia_intensiva,decedutiMl,decedutiMLUp,decedutiMLDw
2020-02-24,101.0,26.0,127.0,221.0,0.0,221.0,7.0,4324.0,,-400.20815177002214,-400.20815177002214,-400.20815177002214
2020-02-25,114.0,35.0,150.0,311.0,90.0,93.0,10.0,8623.0,,-316.8862565236295,-316.8862565236295,-316.8862565236295
2020-02-26,128.0,36.0,164.0,385.0,74.0,78.0,12.0,9587.0,,-233.56436127723688,-233.56436127723688,-233.56436127723688
2020-02-27,248.0,56.0,304.0,588.0,203.0,250.0,17.0,12014.0,,-150.2424660308443,-150.2424660308443,-150.2424660308443
2020-02-28,345.0,64.0,409.0,821.0,233.0,238.0,21.0,15695.0,,-66.92057078445164,-66.92057078445164,-66.92057078445164
2020-02-29,401.0,105.0,506.0,1049.0,228.0,240.0,29.0,18661.0,,16.401324461940945,16.401324461940945,16.401324461940945
2020-03-01,639.0,140.0,779.0,1577.0,528.0,566.0,34.0,21127.0,,99.72321970833353,99.72321970833353,99.72321970833353
2020-03-02,742.0,166.0,908.0,1835.0,258.0,342.0,52.0,23345.0,,183.0451149547262,183.0451149547262,183.0451149547262
2020-03-03,1034.0,229.0,1263.0,2263.0,428.0,466.0,79.0,25856.0,,266.36701020111883,266.36701020111883,266.36701020111883
2020-03-04,1346.0,295.0,1641.0,2706.0,443.0,587.0,107.0,29837.0,,349.68890544751144,349.68890544751144,349.68890544751144
2020-03-05,1790.0,351.0,2141.0,3296.0,590.0,769.0,148.0,32362.0,,433.010800693904,433.010800693904,433.010800693904
2020-03-06,2394.0,462.0,2856.0,3916.0,620.0,778.0,197.0,36359.0,,516.3326959402966,516.3326959402966,516.3326959402966
2020-03-07,2651.0,567.0,3218.0,5061.0,1145.0,1247.0,233.0,42062.0,,599.6545911866891,599.6545911866891,599.6545911866891
2020-03-08,3557.0,650.0,4207.0,6387.0,1326.0,1492.0,366.0,49937.0,,682.9764864330817,682.9764864330817,682.9764864330817
2020-03-09,4316.0,733.0,5049.0,7985.0,1598.0,1797.0,463.0,53826.0,,766.2983816794745,766.2983816794745,766.2983816794745
2020-03-10,5038.0,877.0,5915.0,8514.0,529.0,977.0,631.0,60761.0,,849.6202769258671,849.6202769258671,849.6202769258671
2020-03-11,5838.0,1028.0,6866.0,10590.0,2076.0,2313.0,827.0,73154.0,,932.9421721722597,932.9421721722597,932.9421721722597
2020-03-12,6650.0,1153.0,7803.0,12839.0,2249.0,2651.0,1016.0,86011.0,,1016.2640674186521,1016.2640674186521,1016.2640674186521
2020-03-13,7426.0,1328.0,8754.0,14955.0,2116.0,2547.0,1266.0,97488.0,,1099.585962665045,1099.585962665045,1099.585962665045
2020-03-14,8372.0,1518.0,9890.0,17750.0,2795.0,3497.0,1441.0,109170.0,,1182.9078579114373,1182.9078579114373,1182.9078579114373
2020-03-15,9663.0,1672.0,11335.0,20603.0,2853.0,3590.0,1809.0,124899.0,,1266.2297531578301,1266.2297531578301,1266.2297531578301
2020-03-16,11025.0,1851.0,12876.0,23073.0,2470.0,3233.0,2158.0,137962.0,,1349.5516484042237,1349.5516484042237,1349.5516484042237
2020-03-17,12894.0,2060.0,14954.0,26062.0,2989.0,3526.0,2503.0,148657.0,,2077.458331999574,2077.458331999574,2077.458331999574
2020-03-18,14363.0,2257.0,16620.0,28710.0,2648.0,4207.0,2978.0,165541.0,,2805.3650155949244,2805.3650155949244,2805.3650155949244
2020-03-19,15757.0,2498.0,18255.0,33190.0,4480.0,5322.0,3405.0,182777.0,,3533.2716991902726,3533.2716991902726,3533.2716991902726
2020-03-20,16020.0,2655.0,18675.0,37860.0,4670.0,5986.0,4032.0,206886.0,,4261.178382785623,4261.178382785623,4261.178382785623
2020-03-21,17708.0,2857.0,20565.0,42681.0,4821.0,6557.0,4825.0,233222.0,,4989.085066380973,4989.085066380973,4989.085066380973
2020-03-22,19846.0,3009.0,22855.0,46638.0,3957.0,5560.0,5476.0,258402.0,,5716.991749976323,5716.991749976323,5716.991749976323
2020-03-23,20692.0,3204.0,23896.0,50418.0,3780.0,4789.0,6077.0,275468.0,,6444.898433571678,6444.898433571678,6444.898433571678
2020-03-24,21937.0,3396.0,25333.0,54030.0,3612.0,5249.0,6820.0,296964.0,,7172.805117167028,7172.805117167028,7172.805117167028
2020-03-25,23112.0,3489.0,26601.0,57521.0,3491.0,5210.0,7503.0,324445.0,,7900.7118007623785,7900.7118007623785,7900.7118007623785
2020-03-26,24753.0,3612.0,28365.0,62013.0,4492.0,6153.0,8165.0,361060.0,,8628.618484357728,8628.618484357728,8628.618484357728
2020-03-27,26029.0,3732.0,29761.0,66414.0,4401.0,5959.0,9134.0,394079.0,,9356.52516795308,9356.52516795308,9356.52516795308
2020-03-28,26676.0,3856.0,30532.0,70065.0,3651.0,5974.0,10023.0,429526.0,,10084.43185154843,10084.43185154843,10084.43185154843
2020-03-29,27386.0,3906.0,31292.0,73880.0,3815.0,5217.0,10779.0,454030.0,,10812.33853514378,10812.33853514378,10812.33853514378
2020-03-30,27795.0,3981.0,31776.0,75528.0,1648.0,4050.0,11591.0,477359.0,,11540.24521873913,11540.24521873913,11540.24521873913
2020-03-31,28192.0,4023.0,32215.0,77635.0,2107.0,4053.0,12428.0,506968.0,,12268.15190233448,12268.15190233448,12268.15190233448
2020-04-01,28403.0,4035.0,32438.0,80572.0,2937.0,4782.0,13155.0,541423.0,,12996.05858592983,12996.05858592983,12996.05858592983
2020-04-02,28540.0,4053.0,32593.0,83049.0,2477.0,4668.0,13915.0,581232.0,,13723.96526952518,13723.96526952518,13723.96526952518
2020-04-03,28741.0,4068.0,32809.0,85388.0,2339.0,4585.0,14681.0,619849.0,,14451.871953120532,14451.871953120532,14451.871953120532
2020-04-04,29010.0,3994.0,33004.0,88274.0,2886.0,4805.0,15362.0,657224.0,,15179.77863671588,15179.77863671588,15179.77863671588
2020-04-05,28949.0,3977.0,32926.0,91246.0,2972.0,4316.0,15887.0,691461.0,,15907.685320311231,15907.685320311231,15907.685320311231
2020-04-06,28976.0,3898.0,32874.0,93187.0,1941.0,3599.0,16523.0,721732.0,,16635.592003906586,16635.592003906586,16635.592003906586
2020-04-07,28718.0,3792.0,32510.0,94067.0,880.0,3039.0,17127.0,755445.0,,17363.49868750194,17363.49868750194,17363.49868750194
2020-04-08,28485.0,3693.0,32178.0,95262.0,1195.0,3836.0,17669.0,807125.0,,17865.673511128483,17865.673511128483,17865.673511128483
2020-04-09,28399.0,3605.0,32004.0,96877.0,1615.0,4204.0,18279.0,853369.0,,18367.84833475503,18367.84833475503,18367.84833475503
2020-04-10,28242.0,3497.0,31739.0,98273.0,1396.0,3951.0,18849.0,906864.0,,18870.023158381577,18870.023158381577,18870.023158381577
2020-04-11,28144.0,3381.0,31525.0,100269.0,1996.0,4694.0,19468.0,963473.0,,19372.19798200812,19372.19798200812,19372.19798200812
2020-04-12,27847.0,3343.0,31190.0,102253.0,1984.0,4092.0,19899.0,1010193.0,,19874.372805634666,19874.372805634666,19874.372805634666
2020-04-13,28023.0,3260.0,31283.0,103616.0,1363.0,3153.0,20465.0,1046910.0,,20376.54762926121,20376.54762926121,20376.54762926121
2020-04-14,28011.0,3186.0,31197.0,104291.0,675.0,2972.0,21067.0,1073689.0,,20878.72245288776,20878.72245288776,20878.72245288776
2020-04-15,27643.0,3079.0,30722.0,105418.0,1127.0,2667.0,21645.0,1117404.0,,21380.897276514308,21380.897276514308,21380.897276514308
2020-04-16,26893.0,2936.0,29829.0,106607.0,1189.0,3786.0,22170.0,1178403.0,,21883.07210014085,21883.07210014085,21883.07210014085
2020-04-17,25786.0,2812.0,28598.0,106962.0,355.0,3493.0,22745.0,1244108.0,,22385.246923767398,22385.246923767398,22385.246923767398
2020-04-18,25007.0,2733.0,27740.0,107771.0,809.0,3491.0,23227.0,1305833.0,,22887.421747393946,22887.421747393946,22887.421747393946
2020-04-19,25033.0,2635.0,27668.0,108257.0,486.0,3047.0,23660.0,1356541.0,,23389.596571020487,23389.596571020487,23389.596571020487
2020-04-20,24906.0,2573.0,27479.0,108237.0,-20.0,2256.0,24114.0,1398024.0,,23891.77139464704,23891.77139464704,23891.77139464704
2020-04-21,24134.0,2471.0,26605.0,107709.0,-528.0,2729.0,24648.0,1450150.0,,24393.946218273588,24393.946218273588,24393.946218273588
2020-04-22,23805.0,2384.0,26189.0,107699.0,-10.0,3370.0,25085.0,1513251.0,,24896.121041900133,24896.121041900133,24896.121041900133
2020-04-23,22871.0,2267.0,25138.0,106848.0,-851.0,2646.0,25549.0,1579909.0,,25398.295865526678,25398.295865526678,25398.295865526678
2020-04-24,22068.0,2173.0,24241.0,106527.0,-321.0,3021.0,25969.0,1642356.0,,25900.470689153226,25900.470689153226,25900.470689153226
2020-04-25,21533.0,2102.0,23635.0,105847.0,-680.0,2357.0,26384.0,1707743.0,,26402.64551277977,26402.64551277977,26402.64551277977
2020-04-26,21372.0,2009.0,23381.0,106103.0,256.0,2324.0,26644.0,1757659.0,,26904.82033640632,26904.82033640632,26904.82033640632
2020-04-27,20353.0,1956.0,22309.0,105813.0,-290.0,1739.0,26977.0,1789662.0,,27406.99516003286,27406.99516003286,27406.99516003286
2020-04-28,19723.0,1863.0,21586.0,105205.0,-608.0,2091.0,27359.0,1846934.0,,27909.16998365941,27909.16998365941,27909.16998365941
2020-04-29,19210.0,1795.0,21005.0,104657.0,-548.0,2086.0,27682.0,1910761.0,,28116.82884662598,28116.82884662598,28116.82884662598
2020-04-30,18149.0,1694.0,19843.0,101551.0,-3106.0,1872.0,27967.0,1979217.0,,28324.487709592555,28324.487709592555,28324.487709592555
2020-05-01,17569.0,1578.0,19147.0,100943.0,-608.0,1965.0,28236.0,2053425.0,,28532.146572559126,28532.146572559126,28532.146572559126
2020-05-02,17357.0,1539.0,18896.0,100704.0,-239.0,1900.0,28710.0,2108837.0,,28739.8054355257,28739.8054355257,28739.8054355257
2020-05-03,17242.0,1501.0,18743.0,100179.0,-525.0,1389.0,28884.0,2153772.0,,28947.464298492272,28947.464298492272,28947.464298492272
2020-05-04,16823.0,1479.0,18302.0,99980.0,-199.0,1221.0,29079.0,2191403.0,,29155.123161458843,29155.123161458843,29155.123161458843
2020-05-05,16270.0,1427.0,17697.0,98467.0,-1513.0,1075.0,29315.0,2246666.0,,29362.782024425418,29362.782024425418,29362.782024425418
2020-05-06,15769.0,1333.0,17102.0,91528.0,-6939.0,1444.0,29684.0,2310929.0,,29570.44088739199,29570.44088739199,29570.44088739199
2020-05-07,15174.0,1311.0,16485.0,89624.0,-1904.0,1401.0,29958.0,2381288.0,,29778.099750358564,29778.099750358564,29778.099750358564
2020-05-08,14636.0,1168.0,15804.0,87961.0,-1663.0,1327.0,30201.0,2445063.0,,29985.758613325135,29985.758613325135,29985.758613325135
2020-05-09,13834.0,1034.0,14868.0,84842.0,-3119.0,1083.0,30395.0,2514234.0,,30193.417476291706,30193.417476291706,30193.417476291706
2020-05-10,13618.0,1027.0,14645.0,83324.0,-1518.0,802.0,30560.0,2565912.0,,30401.07633925828,30401.07633925828,30401.07633925828
2020-05-11,13539.0,999.0,14538.0,82488.0,-836.0,744.0,30739.0,2606652.0,,30608.735202224852,30608.735202224852,30608.735202224852
2020-05-12,12865.0,952.0,13817.0,81266.0,-1222.0,1402.0,30911.0,2673655.0,,30816.394065191424,30816.394065191424,30816.394065191424
2020-05-13,12172.0,893.0,13065.0,78457.0,-2809.0,888.0,31106.0,2735628.0,,31024.052928158,31024.052928158,31024.052928158
2020-05-14,11453.0,855.0,12308.0,76440.0,-2017.0,992.0,31368.0,2807504.0,,31231.71179112457,31231.71179112457,31231.71179112457
2020-05-15,10792.0,808.0,11600.0,72070.0,-4370.0,789.0,31610.0,2875680.0,,31439.370654091144,31439.370654091144,31439.370654091144
2020-05-16,10400.0,775.0,11175.0,70187.0,-1883.0,875.0,31763.0,2944859.0,,31647.029517057716,31647.029517057716,31647.029517057716
2020-05-17,10311.0,762.0,11073.0,68351.0,-1836.0,675.0,31908.0,3004960.0,,31854.688380024287,31854.688380024287,31854.688380024287
2020-05-18,10207.0,749.0,10956.0,66553.0,-1798.0,451.0,32007.0,3041366.0,,32062.34724299086,32062.34724299086,32062.34724299086
2020-05-19,9991.0,716.0,10707.0,65129.0,-1424.0,813.0,32169.0,3104524.0,,32270.006105957433,32270.006105957433,32270.006105957433
2020-05-20,9624.0,676.0,10300.0,62752.0,-2377.0,665.0,32330.0,3171719.0,,32477.664968924008,32477.664968924008,32477.664968924008
2020-05-21,9269.0,640.0,9909.0,60960.0,-1792.0,642.0,32486.0,3243398.0,,32560.800920824608,32560.800920824608,32560.800920824608
2020-05-22,8957.0,595.0,9552.0,59322.0,-1638.0,652.0,32616.0,3318778.0,,32643.93687272521,32643.93687272521,32643.93687272521
2020-05-23,8695.0,572.0,9267.0,57752.0,-1570.0,669.0,32735.0,3391188.0,,32727.072824625815,32727.072824625815,32727.072824625815
2020-05-24,8613.0,553.0,9166.0,56594.0,-1158.0,531.0,32785.0,3447012.0,,32810.208776526415,32810.208776526415,32810.208776526415
2020-05-25,8185.0,541.0,8726.0,55300.0,-1294.0,300.0,32877.0,3482253.0,,32893.34472842702,32893.34472842702,32893.34472842702
2020-05-26,7917.0,521.0,8438.0,52942.0,-2358.0,397.0,32955.0,3539927.0,,32976.48068032762,32976.48068032762,32976.48068032762
2020-05-27,7729.0,505.0,8234.0,50966.0,-1976.0,584.0,33072.0,3607251.0,,33059.61663222822,33059.61663222822,33059.61663222822
