date,totale_positivi,nuovi_positivi,deceduti,terapia_intensiva,totale_ospedalizzati,tamponi
2020-01-01,0.0,0.0,0.0,0.0,0.0,31.0
2020-01-02,0.0,0.0,0.0,0.0,0.0,121.0
2020-01-03,0.0,0.0,0.0,0.0,0.0,95.0
2020-01-04,0.0,0.0,0.0,0.0,0.0,126.0
2020-01-05,0.0,0.0,0.0,0.0,0.0,96.0
2020-01-06,0.0,0.0,0.0,0.0,1.0,226.0
2020-01-07,0.0,0.0,0.0,0.0,0.0,215.0
2020-01-08,0.0,0.0,0.0,0.0,0.0,175.0
2020-01-09,0.0,0.0,0.0,0.0,0.0,205.0
2020-01-10,0.0,0.0,0.0,0.0,0.0,244.0
2020-01-11,0.0,0.0,0.0,0.0,0.0,49.0
2020-01-12,0.0,0.0,0.0,0.0,0.0,176.0
2020-01-13,0.0,0.0,0.0,0.0,0.0,243.0
2020-01-14,0.0,0.0,0.0,0.0,0.0,248.0
2020-01-15,0.0,0.0,0.0,0.0,0.0,345.0
2020-01-16,0.0,0.0,0.0,0.0,0.0,245.0
2020-01-17,0.0,0.0,0.0,0.0,0.0,195.0
2020-01-18,0.0,0.0,0.0,0.0,1.0,96.0
2020-01-19,0.0,0.0,0.0,0.0,0.0,173.0
2020-01-20,0.0,0.0,0.0,0.0,0.0,348.0
2020-01-21,0.0,0.0,0.0,0.0,0.0,299.0
2020-01-22,2228.0,0.0,0.0,0.0,0.0,349.0
2020-01-23,2620.0,392.0,4.0,0.0,0.0,360.0
2020-01-24,3766.0,1146.0,32.0,0.0,0.0,287.0
2020-01-25,5739.0,1973.0,64.0,0.0,0.0,227.0
2020-01-26,8475.0,2736.0,56.0,0.0,0.0,352.0
2020-01-27,11712.0,3237.0,104.0,0.0,0.0,517.0
2020-01-28,22320.0,10608.0,196.0,0.0,0.0,604.0
2020-01-29,24678.0,2358.0,8.0,0.0,0.0,576.0
2020-01-30,32950.0,8272.0,152.0,0.0,0.0,531.0
2020-01-31,39721.0,6771.0,168.0,0.0,0.0,439.0
2020-02-01,48171.0,8450.0,184.0,0.0,0.0,628.0
2020-02-02,67169.0,18998.0,412.0,0.0,0.0,452.0
2020-02-03,79571.0,12402.0,256.0,0.0,0.0,443.0
2020-02-04,95616.0,16045.0,264.0,0.0,0.0,645.0
2020-02-05,110596.0,14980.0,288.0,0.0,0.0,939.0
2020-02-06,123244.0,12648.0,280.0,0.0,0.0,930.0
2020-02-07,137500.0,14256.0,340.0,0.0,0.0,966.0
2020-02-08,148429.0,10929.0,348.0,0.0,0.0,1623.0
2020-02-09,160549.0,12120.0,400.0,0.0,0.0,2446.0
2020-02-10,170839.0,10290.0,428.0,0.0,0.0,1558.0
2020-02-11,179009.0,8170.0,400.0,0.0,0.0,1552.0
2020-02-12,180601.0,1592.0,20.0,0.0,1.0,2190.0
2020-02-13,241209.0,60608.0,1012.0,0.0,0.0,1292.0
2020-02-14,267235.0,26026.0,608.0,0.0,0.0,1912.0
2020-02-15,275674.0,8439.0,573.0,0.0,0.0,1281.0
2020-02-16,284266.0,8592.0,416.0,0.0,0.0,2958.0
2020-02-17,292208.0,7942.0,392.0,0.0,0.0,1671.0
2020-02-18,299560.0,7352.0,560.0,0.0,0.0,4257.0
2020-02-19,301402.0,1842.0,460.0,0.0,0.0,2593.0
2020-02-20,303616.0,2214.0,496.0,0.0,0.0,3169.0
2020-02-21,306149.0,2533.0,17.0,0.0,0.0,6101.0
2020-02-22,313235.0,7086.0,829.0,0.0,0.0,9743.0
2020-02-23,314734.0,1499.0,43.0,0.0,0.0,3935.0
2020-02-24,317080.0,2346.0,644.0,26.0,127.0,7500.0
2020-02-25,320599.0,3519.0,323.0,35.0,150.0,14126.0
2020-02-26,324637.0,4038.0,245.0,36.0,165.0,12516.0
2020-02-27,330323.0,5686.0,177.0,63.0,307.0,18567.0
2020-02-28,336159.0,5836.0,236.0,72.0,421.0,28002.0
2020-02-29,344083.0,7924.0,288.0,114.0,519.0,19877.0
2020-03-01,354302.0,10219.0,221.0,151.0,802.0,16196.0
2020-03-02,362712.0,8410.0,375.0,176.0,956.0,18573.0
2020-03-03,373718.0,11006.0,325.0,241.0,1317.0,25277.0
2020-03-04,383796.0,10078.0,409.0,310.0,1712.0,36070.0
2020-03-05,396380.0,12584.0,417.0,366.0,2240.0,23312.0
2020-03-06,413593.0,17213.0,506.0,481.0,2975.0,45319.0
2020-03-07,431981.0,18388.0,464.0,588.0,3383.0,35935.0
2020-03-08,450098.0,18117.0,1105.0,677.0,4404.0,29187.0
2020-03-09,469741.0,19643.0,876.0,765.0,5314.0,30855.0
2020-03-10,491800.0,22059.0,1289.0,917.0,6275.0,38639.0
2020-03-11,527084.0,35284.0,1616.0,1077.0,7325.0,47167.0
2020-03-12,553557.0,26473.0,1429.0,1223.0,8389.0,50113.0
2020-03-13,621120.0,67563.0,2338.0,1412.0,9472.0,46172.0
2020-03-14,672918.0,51798.0,1948.0,1631.0,10763.0,65849.0
2020-03-15,725403.0,52485.0,3057.0,1861.0,12635.0,64921.0
2020-03-16,794762.0,69359.0,3244.0,2110.0,14497.0,78110.0
2020-03-17,868782.0,74020.0,3837.0,2375.0,17040.0,103804.0
2020-03-18,959417.0,90635.0,4266.0,3438.0,22040.0,116958.0
2020-03-19,1084635.0,125218.0,5255.0,4037.0,25449.0,152513.0
2020-03-20,1225655.0,141020.0,7118.0,4867.0,27741.0,173138.0
2020-03-21,1372797.0,147142.0,8238.0,5506.0,30978.0,180264.0
2020-03-22,1530754.0,157957.0,7995.0,6040.0,35035.0,153100.0
2020-03-23,1723675.0,192921.0,9291.0,6934.0,38687.0,210904.0
2020-03-24,1908378.0,184703.0,10910.0,8008.0,43568.0,219512.0
2020-03-25,2139274.0,230896.0,13305.0,9017.0,48254.0,246818.0
2020-03-26,2421773.0,282499.0,14238.0,9839.0,52747.0,283284.0
2020-03-27,2711938.0,290165.0,16276.0,10741.0,64718.0,330663.0
2020-03-28,3022360.0,310422.0,17771.0,11729.0,69289.0,284514.0
2020-03-29,3275479.0,253119.0,16232.0,12457.0,73966.0,309917.0
2020-03-30,3562907.0,287428.0,18901.0,13929.0,80418.0,255077.0
2020-03-31,3900484.0,337577.0,21673.0,14972.0,83993.0,317432.0
2020-04-01,4261749.0,361265.0,27544.0,16007.0,88851.0,484037.0
2020-04-02,4621656.0,359907.0,26636.0,19142.0,93193.0,516028.0
