date,vaccinazioni_totali,terza_dose,nuovi_vaccinati
2020-12-15,1500000.0,,
2020-12-16,,,187500.0
2020-12-17,,,187500.0
2020-12-18,,,187500.0
2020-12-19,,,187500.0
2020-12-20,,,187500.0
2020-12-21,,,187500.0
2020-12-22,,,187500.0
2020-12-23,,,187500.0
2020-12-24,,,187500.0
2020-12-25,,,187500.0
2020-12-26,,,187500.0
2020-12-27,,,187500.0
2020-12-28,,,187500.0
2020-12-29,,,187500.0
2020-12-30,,,187500.0
2020-12-31,4500000.0,,187500.0
2021-01-01,,,232143.0
2021-01-02,,,276786.0
2021-01-03,,,321429.0
2021-01-04,,,366071.0
2021-01-05,,,410714.0
2021-01-06,,,455357.0
2021-01-07,,,500000.0
2021-01-08,,,500000.0
2021-01-09,9000000.0,,500000.0
2021-01-10,,,464286.0
2021-01-11,,,428571.0
2021-01-12,,,392857.0
2021-01-13,10000000.0,,357143.0
2021-01-14,,,387755.0
2021-01-15,,,418367.0
2021-01-16,,,448980.0
2021-01-17,,,515306.0
2021-01-18,,,581633.0
2021-01-19,,,647959.0
2021-01-20,15000000.0,,714286.0
2021-01-21,,,770755.0
2021-01-22,,,827224.0
2021-01-23,,,883694.0
2021-01-24,,,940163.0
2021-01-25,,,996633.0
2021-01-26,,,1053102.0
2021-01-27,22767000.0,,1109571.0
2021-01-28,,,995097.0
2021-01-29,,,880622.0
2021-01-30,,,766148.0
2021-01-31,24000000.0,,651673.0
2021-02-01,,,836020.0
2021-02-02,,,1020367.0
2021-02-03,31200000.0,,1204714.0
2021-02-04,,,1382583.0
2021-02-05,,,1560452.0
2021-02-06,,,1738321.0
2021-02-07,,,1916190.0
2021-02-08,,,1795238.0
2021-02-09,40520000.0,,1674286.0
2021-02-10,,,1421654.0
2021-02-11,,,1289975.0
2021-02-12,,,1158296.0
2021-02-13,,,1026617.0
2021-02-14,,,894937.0
2021-02-15,,,763258.0
2021-02-16,,,631579.0
2021-02-17,,,631579.0
2021-02-18,,,631579.0
2021-02-19,,,631579.0
2021-02-20,,,631579.0
2021-02-21,,,631579.0
2021-02-22,,,631579.0
2021-02-23,,,631579.0
2021-02-24,,,631579.0
2021-02-25,,,631579.0
2021-02-26,,,631579.0
2021-02-27,,,631579.0
2021-02-28,52520000.0,,631579.0
2021-03-01,,,668496.0
2021-03-02,,,705414.0
2021-03-03,,,742331.0
2021-03-04,,,779248.0
2021-03-05,,,816165.0
2021-03-06,,,853083.0
2021-03-07,,,890000.0
2021-03-08,,,890000.0
2021-03-09,,,890000.0
2021-03-10,,,890000.0
2021-03-11,,,890000.0
2021-03-12,,,890000.0
2021-03-13,,,890000.0
2021-03-14,64980000.0,,890000.0
2021-03-15,,,1000381.0
2021-03-16,,,1110762.0
2021-03-17,,,1221143.0
2021-03-18,,,1331524.0
2021-03-19,,,1441905.0
2021-03-20,74956000.0,,1552286.0
2021-03-21,,,1818286.0
2021-03-22,80460000.0,,1973905.0
2021-03-23,82846000.0,,2077238.0
2021-03-24,85859700.0,,2270243.0
2021-03-25,91346000.0,,2816476.0
2021-03-26,97470000.0,,3453810.0
2021-03-27,102417000.0,,3923000.0
2021-03-28,106613000.0,,4129286.0
2021-03-29,110962000.0,,4357429.0
2021-03-30,114690000.0,,4549143.0
2021-03-31,119821000.0,,4851614.0
2021-04-01,126616000.0,,5038571.0
2021-04-02,133801000.0,,5190143.0
2021-04-03,136677000.0,,4894286.0
2021-04-04,139970000.0,,4765286.0
2021-04-05,142802000.0,,4548571.0
2021-04-06,145920000.0,,4461429.0
2021-04-07,149071000.0,,4178571.0
2021-04-08,155150000.0,,4076286.0
2021-04-09,161121000.0,,3902857.0
2021-04-10,164471000.0,,3970571.0
2021-04-11,167343000.0,,3910429.0
2021-04-12,171928000.0,,4160857.0
2021-04-13,175623000.0,,4243286.0
2021-04-14,179216000.0,,4306429.0
2021-04-15,183536000.0,,4055143.0
2021-04-16,187360000.0,,3748429.0
2021-04-17,189809000.0,,3619714.0
2021-04-18,192127000.0,,3540571.0
2021-04-19,195022000.0,,3299143.0
2021-04-20,198950000.0,,3332429.0
2021-04-21,204191000.0,,3567857.0
2021-04-22,211223000.0,,3955286.0
2021-04-23,216084000.0,,4103429.0
2021-04-24,220309000.0,,4357143.0
2021-04-25,224901000.0,,4682000.0
2021-04-26,229489000.0,,4923857.0
2021-04-27,235976000.0,,5289429.0
2021-04-28,243905000.0,,5673429.0
2021-04-29,253463000.0,,6034286.0
2021-04-30,265064000.0,,6997143.0
2021-05-01,270406000.0,,7156714.0
2021-05-02,275338000.0,,7205286.0
2021-05-03,279905000.0,,7202286.0
2021-05-04,284595000.0,,6945571.0
2021-05-05,289627000.0,,6531714.0
2021-05-06,297734000.0,,6324429.0
2021-05-07,308226000.0,,6166000.0
2021-05-08,317586000.0,,6740000.0
2021-05-09,324307000.0,,6995571.0
2021-05-10,332964000.0,,7579857.0
2021-05-11,342697000.0,,8300286.0
2021-05-12,354272000.0,,9235000.0
2021-05-13,366910000.0,,9882286.0
2021-05-14,380633000.0,,10343857.0
2021-05-15,392987000.0,,10771571.0
2021-05-16,406938000.0,,11804429.0
2021-05-17,421991000.0,,12718143.0
2021-05-18,435689000.0,,13284571.0
2021-05-19,449511000.0,,13605571.0
2021-05-20,466698000.0,,14255429.0
2021-05-21,483343000.0,,14672857.0
2021-05-22,497272000.0,,14897857.0
2021-05-23,510858000.0,,14845714.0
2021-05-24,527253000.0,,15037429.0
2021-05-25,546714000.0,,15860714.0
2021-05-26,566723000.0,,16744571.0
2021-05-27,584360000.0,,16808857.0
2021-05-28,602991000.0,,17092571.0
2021-05-29,620974000.0,,17671714.0
2021-05-30,639172000.0,,18330571.0
2021-05-31,661468000.0,,19173571.0
2021-06-01,681908000.0,,19313429.0
2021-06-02,704826000.0,,19729000.0
2021-06-03,723486000.0,,19875143.0
2021-06-04,744483000.0,,20213143.0
2021-06-05,763065000.0,,20298714.0
2021-06-06,777879000.0,,19815286.0
2021-06-07,794134000.0,,18952286.0
2021-06-08,808962000.0,,18150571.0
2021-06-09,824856000.0,,17147143.0
2021-06-10,845299000.0,,17401857.0
2021-06-11,863513000.0,,17004286.0
2021-06-12,878523000.0,,16494000.0
2021-06-13,892770000.0,,16413000.0
2021-06-14,904134000.0,,15714286.0
2021-06-15,923910000.0,,16421143.0
2021-06-16,945150000.0,,17184857.0
2021-06-17,966652000.0,,17336143.0
2021-06-18,990257000.0,,18106286.0
2021-06-19,1010489000.0,,18852286.0
2021-06-20,1029223000.0,,19493286.0
2021-06-21,1049744000.0,,20801429.0
2021-06-22,1071783000.0,,21124714.0
