data,ricoverati_con_sintomi,terapia_intensiva,totale_ospedalizzati
2021-03-01 17:00:00,19112,2289,21401
2021-03-02 17:00:00,19570,2327,21897
2021-03-03 17:00:00,19763,2411,22174
2021-03-04 17:00:00,20157,2475,22632
2021-03-05 17:00:00,20374,2525,22899
2021-03-06 17:00:00,20701,2571,23272
2021-03-07 17:00:00,21144,2605,23749
2021-03-08 17:00:00,21831,2700,24531
2021-03-09 17:00:00,22393,2756,25149
2021-03-10 17:00:00,22882,2827,25709
2021-03-11 17:00:00,23247,2859,26106
2021-03-12 17:00:00,23656,2914,26570
2021-03-13 17:00:00,24153,2982,27135
2021-03-14 17:00:00,24518,3082,27600
2021-03-15 17:00:00,25338,3157,28495
2021-03-16 17:00:00,26098,3256,29354
2021-03-17 17:00:00,26517,3317,29834
2021-03-18 17:00:00,26694,3333,30027
2021-03-19 17:00:00,26858,3364,30222
2021-03-20 17:00:00,27061,3387,30448
2021-03-21 17:00:00,27484,3448,30932
2021-03-22 17:00:00,28049,3510,31559
2021-03-23 17:00:00,28428,3546,31974
2021-03-24 17:00:00,28438,3588,32026
2021-03-25 17:00:00,28424,3620,32044
2021-03-26 17:00:00,28472,3628,32100
2021-03-27 17:00:00,28621,3635,32256
2021-03-28 17:00:00,28701,3679,32380
2021-03-29 17:00:00,29163,3721,32884
2021-03-30 17:00:00,29231,3716,32947
2021-03-31 17:00:00,29180,3710,32890
2021-04-01 17:00:00,28949,3681,32630
2021-04-02 17:00:00,28704,3704,32408
2021-04-03 17:00:00,28489,3714,32203
2021-04-04 17:00:00,28432,3703,32135
2021-04-05 17:00:00,28785,3737,32522
2021-04-06 17:00:00,29337,3743,33080
2021-04-07 17:00:00,29316,3683,32999
2021-04-08 17:00:00,28851,3663,32514
2021-04-09 17:00:00,28146,3603,31749
2021-04-10 17:00:00,27654,3588,31242
2021-04-11 17:00:00,27251,3585,30836
2021-04-12 17:00:00,27329,3593,30922
2021-04-13 17:00:00,26952,3526,30478
2021-04-14 17:00:00,26369,3490,29859
2021-04-15 17:00:00,25587,3417,29004
2021-04-16 17:00:00,24743,3366,28109
2021-04-17 17:00:00,24100,3340,27440
2021-04-18 17:00:00,23648,3311,26959
2021-04-19 17:00:00,23742,3244,26986
2021-04-20 17:00:00,23255,3151,26406
2021-04-21 17:00:00,22784,3076,25860
2021-04-22 17:00:00,22094,3021,25115
2021-04-23 17:00:00,21440,2979,24419
2021-04-24 17:00:00,20971,2894,23865
2021-04-25 17:00:00,20662,2862,23524
2021-04-26 17:00:00,20635,2849,23484
2021-04-27 17:00:00,20312,2748,23060
2021-04-28 17:00:00,19860,2711,22571
2021-04-29 17:00:00,19351,2640,21991
2021-04-30 17:00:00,18940,2583,21523
2021-05-01 17:00:00,18381,2522,20903
2021-05-02 17:00:00,18345,2524,20869
2021-05-03 17:00:00,18395,2490,20885
2021-05-04 17:00:00,18176,2423,20599
2021-05-05 17:00:00,17520,2368,19888
2021-05-06 17:00:00,16867,2308,19175
2021-05-07 17:00:00,16331,2253,18584
2021-05-08 17:00:00,15799,2211,18010
2021-05-09 17:00:00,15420,2192,17612
2021-05-10 17:00:00,15427,2158,17585
2021-05-11 17:00:00,14937,2056,16993
2021-05-12 17:00:00,14280,1992,16272
2021-05-13 17:00:00,13608,1893,15501
2021-05-14 17:00:00,13050,1860,14910
2021-05-15 17:00:00,12493,1805,14298
2021-05-16 17:00:00,12134,1779,13913
2021-05-17 17:00:00,12024,1754,13778
2021-05-18 17:00:00,11539,1689,13228
2021-05-19 17:00:00,11018,1643,12661
2021-05-20 17:00:00,10383,1544,11927
2021-05-21 17:00:00,9925,1469,11394
2021-05-22 17:00:00,9488,1430,10918
2021-05-23 17:00:00,9161,1410,10571
2021-05-24 17:00:00,8950,1382,10332
2021-05-25 17:00:00,8557,1323,9880
2021-05-26 17:00:00,8118,1278,9396
2021-05-27 17:00:00,7707,1206,8913
2021-05-28 17:00:00,7192,1142,8334
2021-05-29 17:00:00,6800,1095,7895
2021-05-30 17:00:00,6591,1061,7652
2021-05-31 17:00:00,6482,1033,7515
2021-06-01 17:00:00,6192,989,7181
2021-06-02 17:00:00,5858,933,6791
2021-06-03 17:00:00,5717,892,6609
2021-06-04 17:00:00,5488,836,6324
2021-06-05 17:00:00,5193,788,5981
2021-06-06 17:00:00,4963,774,5737
2021-06-07 17:00:00,4910,759,5669
2021-06-08 17:00:00,4685,688,5373
2021-06-09 17:00:00,4382,661,5043
2021-06-10 17:00:00,4153,626,4779
2021-06-11 17:00:00,3876,597,4473
2021-06-12 17:00:00,3655,574,4229
2021-06-13 17:00:00,3542,565,4107
2021-06-14 17:00:00,3465,536,4001
2021-06-15 17:00:00,3333,504,3837
2021-06-16 17:00:00,3064,471,3535
2021-06-17 17:00:00,2888,444,3332
2021-06-18 17:00:00,2680,416,3096
2021-06-19 17:00:00,2504,394,2898
2021-06-20 17:00:00,2444,389,2833
2021-06-21 17:00:00,2390,385,2775
